energy,coherent,incoherent,photoelectric,total
1.000E-02,1.620e-01,1.352e-01,2.076e+00,2.373e+00
1.500e-02,9.787e-02,1.510e-01,5.585e-01,8.074e-01
2.000e-02,6.478e-02,1.595e-01,2.177e-01,4.420e-01
3.000e-02,3.365e-02,1.655e-01,5.706e-02,2.562e-01
4.000e-02,2.045e-02,1.653e-01,2.193e-02,2.076e-01
5.000e-02,1.371e-02,1.630e-01,1.042e-02,1.871e-01
6.000e-02,9.807e-03,1.598e-01,5.671e-03,1.753e-01
8.000e-02,5.711e-03,1.531e-01,2.169e-03,1.610e-01
1.000e-01,3.719e-03,1.466e-01,1.031e-03,1.514e-01
1.500e-01,1.685e-03,1.327e-01,2.706e-04,1.347e-01
2.000E-01,9.541E-04,1.219E-01,1.063E-04,1.229E-01
